task,model,precision,status,start_time,duration_s,metric_success_count,metric_failure_count,metric_success_rate,metric_tokens_per_s_mean,metric_tokens_per_s_max,metric_tokens_per_s_min,metric_tokens_per_s_p50,metric_tokens_per_s_p95,metric_ttft_s_mean,metric_ttft_s_min,metric_ttft_s_p95,metric_response_elapsed_s_mean,metric_tokens_generated,metric_n_runs,metric_energy_j,metric_tokens_per_joule,gpu_util_mean,power_mean_w,power_max_w,temp_max_c,mem_used_max_mb,sampler_drop_rate
llm_inference,llama3.1:8b,q4_k_m,success,2026-03-23T15:13:26,125.183,5,0,1.0,82.42,82.82,81.84,82.43,82.82,16.4935,0.9331,78.4788,25.0363,3105,5,11514.33,0.2697,57.58,91.98,142.77,53.0,5364.0,0.0
llm_inference,llama3.1:8b,fp16,success,2026-03-23T15:15:36,43.969,5,0,1.0,82.25,82.59,82.0,82.14,82.59,0.9581,0.9321,0.9831,8.7936,2793,5,5759.5,0.4849,81.67,130.99,144.07,57.0,5364.0,0.0
llm_context_scale,llama3.1:8b,q4_k_m,success,2026-03-23T15:16:24,11.789,1268.5,57.05,107.6,170.81,61.0,5364.0,0.0
cv_detection,yolov8n,fp16,success,2026-03-23T15:18:11,8.823,200,640,1,8.822,46.76,0.0,5.3,9.73,27.0,5535.0,0.0
asr_whisper,base,float16,success,2026-03-23T15:18:25,120.486,asr_not_available,553.03,0.0,4.59,5.64,26.0,5364.0,0.0
